admin_id,admin_province,admin_district,admin_llg,admin_ward,admin_village,admin_tribe,admin_clan
247,Morobe,Finschafent,Burum Kwat Rural,,OGERNANG,HARIGEN,SIAM
248,Eastern Highlands,Henganofit,Dunantina Rural,5,Titegave,Hegimpare,Munonofi
249,Morobe,Finschafent,Kotte Rural,10,TARECKO,KOTE,KITAMA
250,Eastern Highlands,Kainantut,Kamano No. 2 Rural,4,Biteve,,Ranofi
251,Morobe,Huont,Morobe Rural,7,BOSADI,SUENA,YEWA
252,Eastern Highlands,Kainantut,Dunantina Rural,1,Akeyampo,Lihona,Lanofi
253,Morobe,Finschafent,Kotte Rural,3,NANDUO,WAMORA,HONGU
254,Eastern Highlands,Henganofit,,six,Numuyangave,Tirebe,Kereribi Gona
255,Morobe,Finschafent,Kuwe Hube,3,TIRENG,MASINEWEC,KURUMBA
256,Western Highlands,Deit,Kotna Rural,Eight Kembuki,Kembuki,Wali,Katembo
257,Western Highlands,Deit,Kotna Rural,Eight,Kembuki,Wali,Rapamboes
258,Western Highlands,Mul/Baiyert,Mul Rural,Two,Rugli,Kundi,Enga Pin
259,Western Highlands,Hagen,Mount Giluwe Rural,Two,Bonga,Dunke,Dauke Kurub
260,Western Highlands,Tambul/Nebilyert,Mount Giluwe Rural,Two,Bonga,Dauke,Dauke
261,Morobe,Nawaet,Labuta Rural,One,Taemigidu,Walu,Laubu
262,Morobe,Finschafent,Yabim Mape Rural,One,Kolem,Yabem,Lausaung
263,Southern Highlands,Pangia,South Wiru,One,Kerapali,Tuei,Peri
264,Southern Highlands,Pangia,South Wiru,One,Kerapali,Tuei,Peri
265,Western Highlands,Tambul/Nebilyert,Mount Giluwe Rural,Two,Pombol,Aika,Pombol
266,Western Highlands,Tambul/Nebilyert,Lower Kagul,Two,Puksa,Enguel,Taembu
267,Western Highlands,Tambul/Nebilyert,,,Pombol,Aiyiaka,Ailam
268,Morobe,Ukaka,Selepet Rural,,Indum,Selepet,Senwagap
269,Western Highlands,Tambul/Nebilyert,Lower Kagul,Palnel,Opule,Kakumbu,Opule
270,Western Highlands,Hagen,Hagen Rural,Six Kik,Kombrom,Jiga,Jiga Delemb
271,Eastern Highlands,Kainantut,Kamano,5,Iwoowka,Amigi,Afuto
272,Western Highlands,Hagen,Hagen Rural,Six Kik,Kombrom,Jiga,Jiga Delemb
273,Eastern Highlands,Kainantut,Gadsup Tairora Rural,7,Akuna,Iomungka,oimunka
274,Western Highlands,Hagen,Hagen Rural,Ten,Kelam,Jika,Komapi
275,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Biron 2,Birop,Yap,Yap
276,Eastern Highlands,Kainantut,Gadsup Tairora Rural,7,Akuna,Kevengu,Anogeh
277,Western Highlands,Mul/Baiyert,Mul Rural,"One, Tondmong",Tondmong,Nenska,Nengka Engamb
278,Eastern Highlands,Kainantut,Gadsup Tairora Rural,10,Arau 1,Gadsup,Inamupi
279,Southern Highlands,Pangia,Kauwo,Two,Kauwo,Pupu,Peweri
280,Eastern Highlands,Kainantut,Gadsup Tairora Rural,10,Arau 2,Muiosara,Pontipo
281,Morobe,Finschafent,Mape,17,SINCKO,BULEROUG,ZABIN
282,Morobe,Finschafent,Yabim Mape Rural,9,KETA,MAPE,ZEONG SHUNG
283,Western Highlands,Tambul/Nebilyert,Lower Kaugul,Tamal,Wakeli,Panimbea,Maka
284,Eastern Highlands,Kianantu,Gadsup Tairora Rural,10,Arau two,Muiosala,Pontipo
285,Western Highlands,Tambul/Nebilyert,Lower Kagul,Palnol,Takopka,Takopoka,Palnol
286,Morobe,Finschafent,Kotte Rural,6,KOTE,KOTE,GAFANG
287,Eastern Highlands,Obura/Wonenarat,Gadsup Tairora Rural,10,Arau 2,,Pontipo
288,Southern Highlands,Mendi/Munihut,Mendi Urban,Karel 1,Karel,Perakam,Yanolome
289,Western Highlands,Hagen,Kik,Apalgum,Kombrom,Jika,Delimp
290,Morobe,Tawae/Siassit,Sialum Rural,12,ZANKOA,SUARU,SIRA
291,,,,,,,
292,Southern Highlands,Pangia,South Wiru,Waia -Wanu,Wanu,Lenepiri,Lukiri
293,Western Highlands,Hagen,Lower Kagul,Marapul,Marapul,Kame,Kame
294,Eastern Highlands,Henganofit,Kafentina Rural,6,Namuzaga,,Tebega Tussinefi
295,Western Highlands,Hagen,Hagen Rural,Kik 1,Aplgium,Jiga Delimb,Delimb
296,Western Highlands,"Hagen, Tambul",Mount Giluwe Rural,One Aika,Sagem,Aika,Aika
297,Southern Highlands,Kagua/Eravet,Aiya Rural,Mabuanda 2,Mabuanda,Kulumbu,Yandapia
298,Morobe,Kabwumt,Deyamos Rural,8,TAKOP,KIUM,KIUMSEN
299,Morobe,Finschafent,Kotte Rural,Yunzaing,Yunzaing,,
300,Eastern Highlands,Obura/Wonenarat,Gadsup Tairora Rural,10,Arau 1,Inamumpy,
301,Western Highlands,Deit,Kotna Rural,Four,Kumkuiya,Kataumb,Kumkuiya
302,Southern Highlands,Imbonggut,Lower Mendi Rural,Omi,ILO,EMBI,Att
303,Western Highlands,Tambul/Nebilyert,Gilewa,Two,Pombol,Ayaika,Aleam
304,Western Highlands,Mul/Baiyert,Mul Rural,,Meit,Kumdi,Enga Pin
305,Eastern Highlands,Obura/Wonenarat,Gadsup Tairora Rural,10,Arau one,Pontipo,
306,Western Highlands,Mul/Baiyert,Gumanch,18,Rapi,Kombulga,Mand
307,Western Highlands,Deit,Kotna Rural,Two,Rulna,Kentilg,Woumbo
308,Morobe,Menyamyat,Kome Rural,six,Menya,Tipateria,Kiwata
309,Morobe,Menyamyat,Sikong,Jorden,Pinake,Wagaquawateqa,Quanataqua
310,Morobe,Huont,Wampar Rural,17,Gabsongkec,Wampar,Montar
311,Southern Highlands,Imbonggut,Lower Mendi Rural,Omai,Karita,Merepa,Palita Merepa
312,Morobe,Finschafent,Kotte Rural,6,QALANGKO,TOGI,NANAGE
313,Southern Highlands,Mendi/Munihut,Imbonggu Rural,1,Waributi,Waitane,Churuf
314,Southern Highlands,Imbonggut,,,Omai,Umita,Mealipe
315,Western Highlands,Deit,Dei Rural,Ruti,Kurunga,Neba,Komb
316,Southern Highlands,Mendi/Munihut,Upper Mendi Rural,Vot wan,Emera,Kurigla,Komiom
317,Western Highlands,Mul/Baiyert,Kumcei,26,Pulik,Kuntumbo,Kumcli
318,Morobe,Finschafent,Kotte Rural,10,TAREKO,YAUNAPO,KAITAMA
319,Morobe,Tawae/Siassit,Sialum Rural,Koyoza,Zunzumau,Dedua,Meremang
320,Western Highlands,Tambul/Nebilyert,Mount Giluwe Rural,Maltak,Uka,Takop,Kungai
321,Eastern Highlands,Okapat,East Okapa Rural,15,Singura 2,Ofoimpina,Singura
322,Morobe,Nawaet,Nabak Rural,Three,Baindong,Nabak,Ayutaka
